Movie,Genre,Year,Review
Crew,Romantic-Comedy,2024,"ممتع بوجود الثلاثي الرهيب كارينا، تابو، كريتي وبصراحه هم اللي رفعو الفلم بأداءهم وشخصياتهم، لكنه النصف الثاني من الفلم ياهو هبد واشياء مو مقنعه واشياء غبيه بس سلكت له 
بإختصار قصته ابو كلب لكن الكاست خيال 🔥"
Crew,Romantic-Comedy,2024,I have to get a plan B right now!
Teri Baaton Mein Aisa Uljha Jiya,Romantic-Comedy,2024,"a man (aryan) who takes no interest in any woman suddenly falls in love with a robot (sifra) after having sex with her, or maybe, it. sifra doesn't say no to anything the man (its admin) asks and obeys him like a maid and now he wants to marry her cause he finally felt 'love' when all his behavioural data was fucking programmed into the robot. straight up weird.
""to be continued"" chup kar bsdk"
Teri Baaton Mein Aisa Uljha Jiya,Romantic-Comedy,2024,eta kemon ending
Teri Baaton Mein Aisa Uljha Jiya,Romantic-Comedy,2024,incel's fantasy.... gross
Teri Baaton Mein Aisa Uljha Jiya,Romantic-Comedy,2024,Not recommended
Teri Baaton Mein Aisa Uljha Jiya,Romantic-Comedy,2024,the album basically bumped half a star up
Teri Baaton Mein Aisa Uljha Jiya,Romantic-Comedy,2024,wtf was this robot storyline and why did they make him get with her
Teri Baaton Mein Aisa Uljha Jiya,Romantic-Comedy,2024,"Interesting concept , was entertaining in the first half but only got boring as it progressed and they turned it into yet another generic family drama rom-com.
I mean clearly they were out of ideas , like some bits were just there to fill up the runtime. And the climax was so dumb.
Was able to complete the whole movie only because of Kriti and Dharam Ji."
Teri Baaton Mein Aisa Uljha Jiya,Romantic-Comedy,2024,2. Filmi gelicekmis ya sok oldum bitirirken. Kritinin oyunculuk harikaydi. Komik bir filmdi ve sonunu asla boyle beklemiyordum. Aaru’nun tam teyzesini de ikna etmisken boyle bir durumla karsilasmasi uzucuydu. Gelecek filmi merak ediyorum next.
Teri Baaton Mein Aisa Uljha Jiya,Romantic-Comedy,2024,"A story to show no matter perfect you make a robot, it can never replace a human. One should tread very carefully with modern-day robots and AI. Also one should not expect perfect matches in marriage."
Teri Baaton Mein Aisa Uljha Jiya,Romantic-Comedy,2024,this was just a kriti thirst watch
Saiyaara,Romantic-Comedy,2025,"Movie is so comforting and heart breaking at the same time. After completing it, I can't say whether I am happy or sad. But loves this movie very much."
Saiyaara,Romantic-Comedy,2025,We’ve detected a massive gravitational anomaly. Please complete this challenge to continue.
Stree 2,Horror,2024,"SARKATEIN KA AATANK
Following the events of ‘Stree’, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it’s up to Vicky and friends to save their town and loved ones."
Stree 2,Horror,2024,so bro got no head?
Stree 2,Horror,2024,this laapata ladies sequel can't get more better.
Stree 2,Horror,2024,rajkumar rao is maddock jesus
Stree 2,Horror,2024,We’ve detected a massive gravitational anomaly. Please complete this challenge to continue.
Munjya,Horror,2024,abhay verma lookalike party in my room‼️‼️‼️ (james pottering it so hard)
Munjya,Horror,2024,"Boring. I think Stree was the only movie from this Maddock Horror Universe that was nice. This wasn't bad, but made for very passive watch, like if you're lying down on your couch on a lazy afternoon with nothing better to do with your time and this is airing on TV. Or for kids. Kids would probably like this movie."
Munjya,Horror,2024,Munjya started off genuinely creepy and fun but the second half got so annoying like the ghost would NOT stop talking bro please shut up for one second. Good horror setup wasted by making him more irritating than scary
Munjya,Horror,2024,Why is he kinda-
Munjya,Horror,2024,"Shitty movie , hot leads (extra .5 for that)"
Munjya,Horror,2024,Average
Munjya,Horror,2024,"Funny, little bit scary 
Abhay Verma is good 
His friend Spielberg is hilarious"
Munjya,Horror,2024,"Most of the scenes are stupid
Ig if you are 10-12 years old you will like the movie"
Munjya,Horror,2024,Mediocre
Munjya,Horror,2024,"Siguiente de la saga del llamado “Maddock Comedy Horror Universe“, y he de decir que no daba un duro por ella cuando me puse a verla, pero la verdad es que me ha sorprendido gratamente, convirtiéndose automáticamente para mí en la mejor de la saga hasta el momento, después de “Stree 2“.
Y es que esta película es más seria que las anteriores, teniendo ciertos momentos simpáticos, pero sin el humor tonto insoportable de las anteriores cintas de la saga,… more"
Munjya,Horror,2024,Loved the cinematography and the guy's acting.
Bhool Bhulaiyaa 3,Horror,2024,If you don't shut the FUCK UP
Bhool Bhulaiyaa 3,Horror,2024,I need a refund (and some bleach)
Bhool Bhulaiyaa 3,Horror,2024,"not sure if it was genuinely that bad or if i was just drained from watching all three of these in a row, but i genuinely wanted to kill myself the entire time i was watching this. where the second one was tolerable, this one was completely unbearable. i could feel my eyes glazing over the entire time. the whole manjulika story somehow got even more convoluted than the first two films.
extremely confusing to make the second two films… more"
Bhool Bhulaiyaa 3,Horror,2024,they just add a new sibling each movie
Bhool Bhulaiyaa 3,Horror,2024,Bas kar Kartik Aryan🙏
Bhool Bhulaiyaa 3,Horror,2024,i may have inflicted self harm by watching this shit voluntarily
Bhool Bhulaiyaa 3,Horror,2024,go off drag queen manjulika slay the house down boots!!!!!
Bhool Bhulaiyaa 3,Horror,2024,mrs madhuri dixit you are so slay
Bhool Bhulaiyaa 3,Horror,2024,"Felt like it took me 2 years to watch, glad that manjulika is caught.
No more new threads of this plot."
Bhool Bhulaiyaa 3,Horror,2024,are we being force-fed slop or is cinema just abhorrent 😍
Bhediya,Horror,2024,Bhediya might actually be my favourite Maddock horror movie because the VFX were SO good. The transformation scenes genuinely looked amazing and didn’t feel cheap at all. also really appreciated the environmental message about forest preservation mixed into the story instead of it just being horror/comedy for no reason
Bhediya,Horror,2024,Tcs bhediya before he was tcs bhediya
Bhediya,Horror,2024,Robert Eggers better take notes from this for Werwulf
Bhediya,Horror,2024,"Jacob who?
Bhaskar now is my favorite werewolf"
Bhediya,Horror,2024,cannibalism
Bhediya,Horror,2024,Surprisingly good effects for the wolf transfiguration.
Bhediya,Horror,2024,"Man needs to respect nature, otherwise it will come back to bite you in the ass.
Worth watching just for that Himesh Reshamiya joke alone.
A smart horror-comedy with a consistently witty script that also weaves in themes of environmentalism, discrimination and rooted in local folklore. Great performance from Varun and all Abhishek Banerjee’s dialogues are so naturally funny."
Bhediya,Horror,2024,this film deserved a bit more appreciation
Bhediya,Horror,2024,struggled to see the vision ibr
Bhediya,Horror,2024,Bhediya is one of the most underrated creature horror movie with dose of comedy and a social message attached to it. Inspired by the folklore of Arunachal Pradesh about a mythical creature named yapum that protects the forest. Bhaskar a money minded road contractor goes to Arunachal Pradesh for a project that involves cutting down of forest. Bhaskar is mysteriously bitten by the mythical creature named yapum which resembles like a wolf. Now bhaskar turns into a werewolf on full… more
Bhediya,Horror,2024,Nice try but they could be concentrating more in the writing!
Bhediya,Horror,2024,"Most interesting movie from the horror universe, I didn't mind the flaws as there's some real honesty in this film.
Unfortunate that the most exciting movie from this now mediocre universe was a flop .
Maddock should imo concentrate on this and stree only"
Kill,Action,2024,tbh i just watched this movie for calum
Kill,Action,2024,"Kill sets it's stall out pretty early, and within a few minutes of the opening of the film it's clear exactly where things are going to go, but even without much mystery in the set up, the film absolutely commands your attention.
Kill tells the story about three brothers, Henry (Daniel Portman), John (Brian Vernel), and Vince (Calum Ross), who join their father, Don (Paul Higgins), on a hunting trip into the Scottish countryside shortly after the death of their… more"
Kill,Action,2024,Drags on for way too long for a whole lot of nothing
Kill,Action,2024,Had so much more potential.
Kill,Action,2024,"decent plot, deffo not a horror, bit slow at points"
Kill,Action,2024,"Despite a minor plot hole, this Scottish made thriller is absolutely stonking.
A difficult premise if you have experience of some of the backstory shown in the movie, not just because of the writing but due to the fantastic work done by the cast and crew.
I found it exciting all the way through and would highly recommend watching the trailer - which really is spoiler free!
Catch it now in the UK on Sky & Now movies.
I really hope it gets a decent showing on terrestrial too. Film4??"
Kill,Action,2024,"Starts well with a disappearing body in the woods but then gets lost in almost supernatural, almost descent into madness, almost a few other themes without committing. Well acted and produced but the script doesn’t support it."
Kill,Action,2024,Found this by accident and rather enjoyed it. A nice uncomplicated watch.
Kill,Action,2024,"Honestly bum’s out the windy way this jobby, I’d have pushed all of them down the stairs purely for their stupid decisions throughout this whole movie. Uninteresting, bleak, and only stayed for the Scottish accents."
Kill,Action,2024,"Worth a watch I’d say. First half was decent enough, but then it started to annoy me a bit. Got repetitive. 🫤"
Kill,Action,2024,"Small horror film that punches well above its weight, showing the affect on a family of lengthy abuse by the husband/father. 
Worth a watch."
Fighter,Action,2024,A technically well made movie that also hits emotionally
Fighter,Action,2024,"We have Top Gun at home...
Also, this legit felt...a lot like Pathaan story wise
How the fuck do you even achieve such levels of plagiarism?!"
Fighter,Action,2024,classic Bollywood YRF types
Fighter,Action,2024,"Another fantastic reminder as to why I have 0 motivation to watch anything Bollywood related anymore.
Watching this immediately after the IMAX viewing of Top Gun: Maverick (2022) was probably the biggest case of Coughing Baby vs Hydrogen Bomb that I have ever seen. What were they even thinking releasing this anywhere near the time when Maverick absolutely wowed audiences and shattered records. The thought of emulating what is probably easily top 5 greatest blockbusters of this century is absolutely… more"
Fighter,Action,2024,copy of top gun
Fighter,Action,2024,ngga jadi daftar au deh
Fighter,Action,2024,"Bro, how can you fumble trying to make an Indian Top Gun this hard. Everything from the pacing to the acting is quite bad, only positives are the CGI and action sequences."
Fighter,Action,2024,It's ok but not that good. It's basically a Bollywood version of Top Gun.
Fighter,Action,2024,"Movie is good . Its written well and is entertaing . Some aerial scences are just 🔥 especially the fight with red nose.
However many songs sometimes destory flow of story and concept is repeated many times in previous movies"
Fighter,Action,2024,uhhhhh
Fighter,Action,2024,Siddharth Anand Propaganda Universe✌️😭
Fighter,Action,2024,com certeza um dos piores filmes da história mundial
Deva,Action,2025,"Deva is a remake of the Malayalam cult thriller Mumbai Police, but sadly this version never matches the power of the original.
The original film had strong writing, emotional depth, tension, and a shocking impact that stayed in the mind. But here, many of those elements feel weaker and less effective.
The performances and technical aspects are decent enough, and the film does try to maintain the thriller atmosphere. But the screenplay and emotional intensity fail to recreate the magic… more"
Deva,Action,2025,"Better than the original, shahid my goat"
Deva,Action,2025,very predictable
Deva,Action,2025,"Just because you made a brilliant movie titled 'Mumbai Police' doesn't mean you need to make a remake in Mumbai (with of course, police)."
Deva,Action,2025,Tellement décevant!!!! J’adore shahid kapoor et le casting était vraiment pas mal mais les acteurs étaient mal dirigée et le scénario est assez mauvais majorité du film est très très très ennuyante et j’ai rapidement décroché. Tout n’est pas à jeter tout de même car le twist de fin était sympa et j’ai découvert Pravesh Rana donc ça n’étais qu’une demie perte de temps.
Deva,Action,2025,SAHID KAPOOR PERFORMANCE AT PEAKKK
Deva,Action,2025,An OKAYISH Action thriller Movie
Deva,Action,2025,"Shahid Kapoor is on his full beast mode, and the first half cooks. Raw, intense, exactly what you want. Then the second half flips into a detective thriller, and while it works, the ending just doesn’t hit.
The buildup promises something massive, but instead, it just stops. Turns out, it’s a Mumbai Police remake. Good movie, just needed that final punch to be great."
Deva,Action,2025,"To be honest I have not seen the original movie. So this movie kept me hooked till then end great suspense, liked how things were going and Shahid Kapoor's acting brilliant."
War 2,Action,2025,i really don't think it shouldve been necessary that a high speed boat chase includes one of the boats suddenly on an f1 track while a race is happening
War 2,Action,2025,Wtf is this piece of shit?
War 2,Action,2025,"Some films are good, some are bad, but few and far in between are woefully inept the way War 2 is. Made on a handsome budget and boasting all the production value of the raw footage shot by a film enthusiast the first time they've operated a camera, the fourth film directed by Bollywood's much-hailed wunderkind Ayan Mukerji is so shoddy that you'll be forced to concede Brahmastra is not his worst. However flawed and hokey, at least that had… more"
War 2,Action,2025,"I haven’t watched any movie in this franchise except for bits and pieces from War. 
On a standalone basis, the story of the movie is decent enough. But the treatment in terms of action, stunts and Vfx made the visuals awful and hence was disturbing the experience of the movie.
Majority of the writing appears to be extremely convenient without any stakes being built. The BGM’s were also not that great."
War 2,Action,2025,They become partner again
War 2,Action,2025,Cgi was garbage. First movie was better.
War 2,Action,2025,Every time you think this movie ends it just keeps going
War 2,Action,2025,"So, so much fun!!!
It's really hard to understand the bad reviews for this movie.
It's the sequel to an absurd and wacky action film with a Scooby-Doo ending. What did the people who trashed it expect?
The film is fun, absurd, the action scenes make no sense but are exceptional.
Roshan dances like a god.
The music is really great, especially the villain's theme.
Highly recommended for any fan of action B-movies."
War 2,Action,2025,"Yeah this movie still fucking rocks.
If you dont like dumb action set pieces then this is not the movie for you. I still think this is one of the most underrated movies of last year. And its such a shame that it went under the radar so far.
The final fight between Kabir and Vikram is probably my favorite fight scene of the 2020s. Just so much action happens in their fight in the cave that it captivated me… more"
War 2,Action,2025,Director is an ARTs student
War 2,Action,2025,"An old school validation story, backed up with mediocre visuals and lazy screenwriting despite good performances"
Kalki 2898 AD,Sci-Fi,2024,"Yep,the best VFX in an Indian movie"
Kalki 2898 AD,Sci-Fi,2024,Kand irikam
Kalki 2898 AD,Sci-Fi,2024,"This feels like Indian mythology smashed into sci-fi madness.
The film doesn’t think small for even a second. It wants to build an entire future civilization—one where ancient epics and dystopian science fiction coexist. And honestly, the most impressive thing about the movie is that it fully commits to its own madness. There’s no ironic distance, no apology for being huge.
Visually, it’s one of the most striking worlds Indian mainstream cinema has attempted. The towering structures, desert wastelands, floating… more"
Kalki 2898 AD,Sci-Fi,2024,"The 3hrs lag, the mediocre graphics, the shitty music and mainly prabhas unwanted dialogues and scenes were totally overshadowed by the elevation given by krishnan about karnan!"
Kalki 2898 AD,Sci-Fi,2024,"They had us (bored) in the first half, I'm not gonna lie. But the second half tho!!!"
Kalki 2898 AD,Sci-Fi,2024,par duniya toh 2026 mai khatam thi na
Kalki 2898 AD,Sci-Fi,2024,Overhypermelodramatic overstuffed unclear b-movie that it makes Prabhas’ mediocre acting look good
Kalki 2898 AD,Sci-Fi,2024,It felt little bit mid but overall I liked this movie.
Kalki 2898 AD,Sci-Fi,2024,prabhas hero. amitabh mog tho. climax is worth entire movie
Kalki 2898 AD,Sci-Fi,2024,"This reminded me of Prometheus: it’s 😄, but it could’ve been 🤩. The first half is tonally uneven, with choppy editing and lazy expositional storytelling & flashbacks (vs. meaningful character development). The second half — when you-know-who gets his you-know-jewel back — it gets 😎🤩. You will see obvious tropes from Dune, Star Wars, Thor, and Elysium. If you’re a fan of sci-fi, it’s worth a shot. Just be patient for the first 90 minutes. 😜"
Kalki 2898 AD,Sci-Fi,2024,Could be in perfection agr prabhas ki jgh kisi or ko liya hota.
Kalki 2898 AD,Sci-Fi,2024,Shockingly boring and derivative. All the interesting stuff gets reduced for cheap popcorn soy point moments.
Brahmastra,Sci-Fi,2024,For the songs & Music
Brahmastra,Sci-Fi,2024,Heyyy that's pretty good
Brahmastra,Sci-Fi,2024,Visual and CGI efek bagus tapi plot-nya aduh MID banget coy bahkan terkesan ampir jelek
Brahmastra,Sci-Fi,2024,"My boy Tenzing got done dirty 😞💔
Some of the most hideous writting and dialogue I have seen in a movie of this budget. Straight to jail."
Brahmastra,Sci-Fi,2024,Such potential wasted with shitty plot and acting.
Brahmastra,Sci-Fi,2024,ranbir papa papa? or alia shiva shiva?
Brahmastra,Sci-Fi,2024,Eyes burning bro 😭
Brahmastra,Sci-Fi,2024,mujhe bollywood etna boring q lgta hai?
Brahmastra,Sci-Fi,2024,I'm very interested in this
2.0,Sci-Fi,2024,նոունեյմի
2.0,Sci-Fi,2024,"Կեցցես տղաս , ❤️❤️❤️
Հգ. Սուրենին"
2.0,Sci-Fi,2024,Ասվիժիծելիկ
